Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Product Type,Division,Unit
France,3 336,3 388,3 486,13 529,14 716,15 464,14 994,14 319,15 103,14 738,Hot Rolled Products,European Union (28),thousand metric tons
Greece (e),1 855,1 635,1 790,1 155,985,965,875,1 020,1 140,1 200 e,Hot Rolled Products,European Union (28),thousand metric tons
Hungary,1 452,1 594,1 765,1 928,1 936,1 823,1 714,1 593,1 972,2 086,Hot Rolled Products,European Union (28),thousand metric tons
Italy,20 743,25 359,27 978,26 309,23 553,23 150,21 730,23 205,23 227,23 533,Hot Rolled Products,European Union (28),thousand metric tons
Latvia (e),692,650,570,810,814,150,200,,,,Hot Rolled Products,European Union (28),thousand metric tons
Luxembourg,2 418,2 737,2 220,2 136,2 015,2 124,2 034,2 056,2 055,2 166,Hot Rolled Products,European Union (28),thousand metric tons
Netherlands,4 997,6 274,6 401,6 418,6 370,6 657,6 814,6 465,6 589,6 971,Hot Rolled Products,European Union (28),thousand metric tons
Poland,6 358,7 050,7 844,7 789,7 514,7 650,7 953,8 229,9 039,9 105,Hot Rolled Products,European Union (28),thousand metric tons
Portugal (e),1 483,1 330,1 765,1 870,1 910,1 860,1 835,1 750,1 700,1 900 e,Hot Rolled Products,European Union (28),thousand metric tons
Romania (e),2 862,3 580,3 860,3 080,2 750,2 945,3 200,3 120,3 100,3 200 e,Hot Rolled Products,European Union (28),thousand metric tons
Slovak Republic (e),3 395,3 726,3 468,3 600,3 660,4 607,4 300,4 300,4 350,4 380 e,Hot Rolled Products,European Union (28),thousand metric tons
Slovenia (e),355,492,530,580,555,555,555,570,605,610 e,Hot Rolled Products,European Union (28),thousand metric tons
Spain,14 406,15 511,15 251,13 166,12 954,13 529,13 781,13 181,13 589,13 777 e,Hot Rolled Products,European Union (28),thousand metric tons
Sweden (e),2 956,4 100,4 125,3 420,3 500,3 800,3 950,4 120,4 200,4 020 e,Hot Rolled Products,European Union (28),thousand metric tons
United Kingdom,7 135,8 415,7 993,7 054,8 053,8 148,7 988,6 680,6 330,6 529,Hot Rolled Products,European Union (28),thousand metric tons
,,,,,,,,,,,,,
Albania (e),280,236,295,355,480,435,475,100,,,Hot Rolled Products,Other Europe,thousand metric tons
Bosnia-Herzegovina,435,475,548,565,592,605,650,690,690,685,Hot Rolled Products,Other Europe,thousand metric tons
Montenegro (e),120,120,125,110,65,135,140,100,100,100 e,Hot Rolled Products,Other Europe,thousand metric tons
Norway (e),470,405,450,465,450,475,480,500,460,465 e,Hot Rolled Products,Other Europe,thousand metric tons
Serbia,950,1 120,1 180,340,390,550,860,1 050,1 310,1 690 e,Hot Rolled Products,Other Europe,thousand metric tons
Turkey (e),25 133,26 300,31 943,34 286,36 405,36 093,36 939,36 882,39 154,39 510 e,Hot Rolled Products,Other Europe,thousand metric tons
,,,,,,,,,,,,,
Belarus,2 296,1 567,1 685,1 898,1 818,1 855,1 878,1 878,1 891,2 009,Hot Rolled Products,C.I.S.,thousand metric tons
Kazakhstan,3 098,3 033,3 355,2 689,2 803,3 173,3 474,3 669,4 261,3 818,Hot Rolled Products,C.I.S.,thousand metric tons
Moldova,441,231,307,360,180,333,421,120,446,472 e,Hot Rolled Products,C.I.S.,thousand metric tons
Russia,50 840,42 959,45 351,46 653,46 966,48 653,48 106,48 079,48 640,49 201,Hot Rolled Products,C.I.S.,thousand metric tons
Ukraine,14 900,17 799,19 807,18 577,17 594,14 942,12 370,13 147,12 781,18 361,Hot Rolled Products,C.I.S.,thousand metric tons
Uzbekistan,700,700,720,725,735,785,850,860,850,850 e,Hot Rolled Products,C.I.S.,thousand metric tons
,,,,,,,,,,,,,
Canada,8 685,12 365,12 080,12 321,12 192,11 984,11 954,11 977,11 860,13 718,Hot Rolled Products,North America,thousand metric tons
Costa Rica,280,287,308,372,447,460,474,382,378,393,Hot Rolled Products,North America,thousand metric tons
Cuba,120,108,118,126,150,105,126,130,114,117,Hot Rolled Products,North America,thousand metric tons
Dominican Republic,268,273,272,395,406,516,425,385,471,523,Hot Rolled Products,North America,thousand metric tons
El Salvador,69,78,97,78,81,83,85,97,90,92,Hot Rolled Products,North America,thousand metric tons
Guatemala,288,345,376,449,557,574,591,474,454,463,Hot Rolled Products,North America,thousand metric tons
Mexico,12 994,14 809,15 793,16 269,16 357,17 742,17 573,18 697,18 694,18 872,Hot Rolled Products,North America,thousand metric tons
Trinidad and Tobago,238,361,427,398,297,300,413,25,,,Hot Rolled Products,North America,thousand metric tons
United States,56 396,75 699,83 339,87 043,86 567,89 130,78 514,78 502,82 451,86 436,Hot Rolled Products,North America,thousand metric tons
,,,,,,,,,,,,,
Argentina,3 749,5 046,5 386,4 952,5 144,5 021,4 572,3 984,4 595,4 763,Hot Rolled Products,South America,thousand metric tons
Brazil,20 223,25 401,25 240,25 696,26 263,24 916,31 789,30 555,32 670,33 611,Hot Rolled Products,South America,thousand metric tons
Chile,1 279,1 473,1 514,1 594,1 289,1 017,1 035,1 081,1 062,1 131,Hot Rolled Products,South America,thousand metric tons
Colombia,1 466,1 621,1 780,1 726,1 651,1 795,1 860,1 772,1 895,1 647,Hot Rolled Products,South America,thousand metric tons
Ecuador,442,546,489,559,691,707,761,682,710,738,Hot Rolled Products,South America,thousand metric tons
Paraguay,42,44,27,22,23,23,24,19,21,22,Hot Rolled Products,South America,thousand metric tons
Peru,871,1 046,913,1 205,1 358,1 434,1 335,1 417,1 517,1 505,Hot Rolled Products,South America,thousand metric tons
Uruguay,55,59,72,74,76,79,81,75,66,68,Hot Rolled Products,South America,thousand metric tons
Venezuela,3 204,2 054,2 658,2 065,1 948,1 357,1 261,530,404,131,Hot Rolled Products,South America,thousand metric tons
,,,,,,,,,,,,,
Algeria (e),510,560,470,470,400,520,1 050,1 100,1 950,2 850 e,Hot Rolled Products,Africa,thousand metric tons
Egypt,6 352,7 939,6 588,7 265,7 438,8 137,7 676,8 001,8 059,9 598,Hot Rolled Products,Africa,thousand metric tons
Libya (e),1 370,945,65,310,690,650,440,430,410,650 e,Hot Rolled Products,Africa,thousand metric tons
Morocco (e),963,1 035,1 090,855,1 035,970,1 200,1 200,950,1 000 e,Hot Rolled Products,Africa,thousand metric tons
South Africa (e),5 550,5 820,5 850,5 400,5 800,5 583,5 700,5 450,5 600,5 650 e,Hot Rolled Products,Africa,thousand metric tons
Tunisia (e),400,500,395,370,440,440,490,400,500,500 e,Hot Rolled Products,Africa,thousand metric tons
,,,,,,,,,,,,,
Iran,9 880,15 395,16 813,17 261,16 656,16 482,15 133,15 473,15 920,17 212,Hot Rolled Products,Middle East,thousand metric tons
Qatar,1 468,1 550,1 580,1 650,1 696,1 709,1 784,1 894,1 745,1 847,Hot Rolled Products,Middle East,thousand metric tons
Saudi Arabia (e),4 130,4 420,4 650,4 600,4 900,5 000,5 500,5 000,4 500,5 000 e,Hot Rolled Products,Middle East,thousand metric tons
