Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Division,Import/Export,Product Type
Venezuela,770,246,712,163,80,20,78,48,24,23,South America,Export,Semi-finished and Finished Steel
Other South America,...,...,0,0,0,0,1,0,0,0,South America,Export,Semi-finished and Finished Steel
,,,,,,,,,,,,,
Algeria,10,3,11,23,15,4,1,0,1,59,Africa,Export,Semi-finished and Finished Steel
Cameroon,0,0,3,0,0,0,12,0,0,1,Africa,Export,Semi-finished and Finished Steel
Egypt,941,1 184,1 425,847,1 958,1 153,453,808,1 477,1 453,Africa,Export,Semi-finished and Finished Steel
Ghana,0,0,2,2,1,0,1,0,2,2,Africa,Export,Semi-finished and Finished Steel
Ivory Coast,0,0,1,1,0,0,0,0,1,0,Africa,Export,Semi-finished and Finished Steel
Kenya,1,1,1,0,1,0,1,0,0,0,Africa,Export,Semi-finished and Finished Steel
Libya,95,124,92,47,9,3,13,6,18,51,Africa,Export,Semi-finished and Finished Steel
Morocco,24,64,169,141,92,47,65,107,155,133,Africa,Export,Semi-finished and Finished Steel
Nigeria,1,1,5,5,0,19,6,1,10,5,Africa,Export,Semi-finished and Finished Steel
Senegal,0,0,1,0,0,0,0,0,0,0,Africa,Export,Semi-finished and Finished Steel
South Africa,2 844,3 018,2 567,2 216,1 888,2 339,2 190,2 194,2 562,2 857,Africa,Export,Semi-finished and Finished Steel
Sudan,0,0,1,0,0,0,0,0,0,0,Africa,Export,Semi-finished and Finished Steel
Tanzania,0,1,1,1,0,1,...,0,0,1,Africa,Export,Semi-finished and Finished Steel
Tunisia,96,149,160,99,70,84,53,42,31,85,Africa,Export,Semi-finished and Finished Steel
Other Africa,13,41,43,59,54,63,28,24,21,25,Africa,Export,Semi-finished and Finished Steel
,,,,,,,,,,,,,
Bahrain,26,37,45,41,513,153,540,768,782,665,Middle East,Export,Semi-finished and Finished Steel
Iran,131,297,270,260,368,2 868,3 798,5 654,7 460,9 273,Middle East,Export,Semi-finished and Finished Steel
Iraq,0,1,0,1,0,0,0,0,1,0,Middle East,Export,Semi-finished and Finished Steel
Israel,42,47,59,35,17,7,6,5,8,10,Middle East,Export,Semi-finished and Finished Steel
Jordan,1,0,1,1,3,0,1,76,72,117,Middle East,Export,Semi-finished and Finished Steel
Kuwait,2,3,16,6,8,3,0,109,101,112,Middle East,Export,Semi-finished and Finished Steel
Lebanon,13,14,27,20,24,4,1,0,0,1,Middle East,Export,Semi-finished and Finished Steel
Oman,39,40,195,56,49,101,118,268,653,779,Middle East,Export,Semi-finished and Finished Steel
Qatar,800,900,585,1 000,1 000,45,0,349,529,1 410,Middle East,Export,Semi-finished and Finished Steel
Saudi Arabia,101,132,699,285,247,123,1 129,1 141,1 138,1 775,Middle East,Export,Semi-finished and Finished Steel
Syria,2,0,10,0,0,...,0,1,0,0,Middle East,Export,Semi-finished and Finished Steel
United Arab Emirates,106,188,949,248,265,860,634,3 404,2 951,2 584,Middle East,Export,Semi-finished and Finished Steel
Yemen,0,...,1,0,...,9,14,...,...,0,Middle East,Export,Semi-finished and Finished Steel
Other Middle East,151,238,...,...,...,...,...,...,...,...,Middle East,Export,Semi-finished and Finished Steel
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Bangladesh,8,12,14,19,26,18,5,4,6,6,Asia,Export,Semi-finished and Finished Steel
China,23 969,41 646,47 899,54 793,61 543,92 907,111 556,108 066,74 808,68 767,Asia,Export,Semi-finished and Finished Steel
Hong Kong,1 226,1 432,1 246,1 168,1 087,1 281,168,988,839,704,Asia,Export,Semi-finished and Finished Steel
India,5 552,6 690,8 940,8 232,10 078,10 379,7 563,10 325,16 335,11 101,Asia,Export,Semi-finished and Finished Steel
Indonesia,1 104,1 236,1 249,901,660,1 342,2 003,1 599,2 425,3 792,Asia,Export,Semi-finished and Finished Steel
Japan,33 306,42 735,40 656,41 458,42 502,41 346,40 804,40 505,37 471,35 839,Asia,Export,Semi-finished and Finished Steel
D.P.R. Korea (e),76,130,67,78,60,57,33,40,29,16,Asia,Export,Semi-finished and Finished Steel
South Korea,20 237,24 628,28 866,30 227,28 927,31 906,31 173,30 586,31 355,30 056,Asia,Export,Semi-finished and Finished Steel
Malaysia,2 920,2 294,2 746,2 319,1 618,2 100,1 823,1 428,1 725,1 693,Asia,Export,Semi-finished and Finished Steel
Myanmar,0,0,2,5,2,0,2,1,7,5,Asia,Export,Semi-finished and Finished Steel
Pakistan,585,1 063,292,220,159,224,53,65,117,543,Asia,Export,Semi-finished and Finished Steel
Philippines,76,57,105,140,65,149,21,29,37,33,Asia,Export,Semi-finished and Finished Steel
Singapore,1 691,1 904,2 312,2 252,2 275,2 155,1 729,1 708,1 479,1 634,Asia,Export,Semi-finished and Finished Steel
Sri Lanka,1,1,2,3,1,1,1,1,1,4,Asia,Export,Semi-finished and Finished Steel
"Taiwan, China",9 953,10 001,10 545,10 539,11 559,12 086,11 177,12 233,12 117,12 285,Asia,Export,Semi-finished and Finished Steel
Thailand,1 587,1 776,1 599,1 569,1 504,1 414,1 254,1 460,1 853,1 916,Asia,Export,Semi-finished and Finished Steel
Viet Nam,151,695,1 137,1 280,1 383,1 523,1 512,2 537,4 034,5 368,Asia,Export,Semi-finished and Finished Steel
Other Asia,1 039,189,1 203,1 384,952,985,1 127,1 159,1 258,1 505,Asia,Export,Semi-finished and Finished Steel
,,,,,,,,,,,,,
Australia,928,1 659,1 389,641,631,683,841,776,979,998,Oceania,Export,Semi-finished and Finished Steel
New Zealand,275,406,448,421,475,287,347,188,192,221,Oceania,Export,Semi-finished and Finished Steel
Other Oceania,2,1,21,4,1,1,0,0,0,2,Oceania,Export,Semi-finished and Finished Steel
,,,,,,,,,,,,,
Austria,2 969,3 253,3 830,3 674,3 320,3 739,4 194,4 328,4 590,4 810,European Union (28),Import,Semi-finished and Finished Steel
Belgium,9 687,11 481,13 309,10 557,10 109,10 743,12 073,13 007,14 073,14 845,European Union (28),Import,Semi-finished and Finished Steel
Bulgaria,1 029,1 012,1 503,1 353,1 513,1 878,1 741,1 969,1 799,1 994,European Union (28),Import,Semi-finished and Finished Steel
Croatia,822,731,678,657,632,680,772,844,821,800,European Union (28),Import,Semi-finished and Finished Steel
Cyprus,305,341,231,162,131,109,144,154,252,337,European Union (28),Import,Semi-finished and Finished Steel
Czech Republic,4 161,5 482,5 828,5 921,5 791,5 750,6 146,6 477,7 075,7 370,European Union (28),Import,Semi-finished and Finished Steel
Denmark,1 624,1 944,2 442,2 250,2 249,2 246,2 436,2 535,2 504,2 592,European Union (28),Import,Semi-finished and Finished Steel
Estonia,295,495,624,511,433,455,422,540,611,682,European Union (28),Import,Semi-finished and Finished Steel
Germany,17 656,22 733,24 854,22 729,21 881,24 263,24 817,26 620,27 094,26 584,European Union (28),Import,Semi-finished and Finished Steel
Finland,972,1 408,1 406,1 055,1 017,1 025,962,1 078,1 995,1 465,European Union (28),Import,Semi-finished and Finished Steel
France,11 439,14 178,14 715,13 163,13 154,13 418,13 656,14 570,15 073,14 882,European Union (28),Import,Semi-finished and Finished Steel
Greece,1 708,1 383,1 372,1 072,1 162,1 262,1 173,1 424,1 363,1 600,European Union (28),Import,Semi-finished and Finished Steel
Hungary,1 272,1 540,1 860,2 126,2 899,2 613,2 275,2 710,2 783,3 058,European Union (28),Import,Semi-finished and Finished Steel
Ireland,390,459,440,457,451,544,658,684,760,810,European Union (28),Import,Semi-finished and Finished Steel
Italy,12 550,16 307,17 478,13 899,15 626,16 632,19 936,19 616,20 091,20 619,European Union (28),Import,Semi-finished and Finished Steel
Latvia,500,660,908,591,650,721,864,827,702,937,European Union (28),Import,Semi-finished and Finished Steel
Lithuania,440,560,693,744,780,858,894,1 048,1 060,1 142,European Union (28),Import,Semi-finished and Finished Steel
Luxembourg,1 144,1 439,1 258,1 041,1 193,1 153,1 139,1 158,1 057,1 210,European Union (28),Import,Semi-finished and Finished Steel
Malta,45,56,34,33,31,41,44,42,42,56,European Union (28),Import,Semi-finished and Finished Steel
Netherlands,6 309,6 853,8 293,7 557,6 144,6 963,6 803,8 359,8 820,10 329,European Union (28),Import,Semi-finished and Finished Steel
Poland,5 359,6 386,7 551,7 845,7 993,9 125,9 214,10 105,10 652,12 061,European Union (28),Import,Semi-finished and Finished Steel
Portugal,2 226,2 351,2 026,1 900,2 472,2 521,2 740,2 803,3 066,3 140,European Union (28),Import,Semi-finished and Finished Steel
Romania,2 095,2 770,3 374,2 930,2 784,3 216,3 454,3 511,3 833,4 102,European Union (28),Import,Semi-finished and Finished Steel
Slovak Republic,1 578,2 127,2 343,2 127,2 446,2 552,2 677,2 940,3 004,2 994,European Union (28),Import,Semi-finished and Finished Steel
Slovenia,1 070,1 124,1 275,1 136,1 125,1 223,1 407,1 483,1 553,1 745,European Union (28),Import,Semi-finished and Finished Steel
Spain,7 040,8 630,8 449,7 329,7 401,8 127,8 885,9 391,9 948,10 779,European Union (28),Import,Semi-finished and Finished Steel
Sweden,2 788,3 843,4 578,3 727,3 154,3 144,3 077,3 433,3 751,4 403,European Union (28),Import,Semi-finished and Finished Steel
United Kingdom,4 374,6 297,7 462,7 140,6 349,7 403,7 182,7 652,7 847,7 889,European Union (28),Import,Semi-finished and Finished Steel
,,,,,,,,,,,,,
Albania,389,253,259,257,181,173,238,394,250,233,Other Europe,Import,Semi-finished and Finished Steel
Bosnia-Herzegovina,220,315,316,281,278,268,314,418,459,470,Other Europe,Import,Semi-finished and Finished Steel
Iceland,31,34,35,37,106,40,50,62,59,65,Other Europe,Import,Semi-finished and Finished Steel
Macedonia,447,538,404,360,340,448,515,764,553,571,Other Europe,Import,Semi-finished and Finished Steel
Montenegro,21,16,17,19,25,25,66,76,126,46,Other Europe,Import,Semi-finished and Finished Steel
Norway,960,853,1 031,1 004,954,1 419,1 000,1 001,1 139,1 101,Other Europe,Import,Semi-finished and Finished Steel
Serbia,774,562,471,618,622,672,665,647,743,884,Other Europe,Import,Semi-finished and Finished Steel
Switzerland,1 856,2 280,2 485,2 426,2 438,2 454,2 330,2 498,2 544,2 590,Other Europe,Import,Semi-finished and Finished Steel
Turkey,10 236,10 746,10 304,11 499,14 462,13 394,18 614,17 009,15 814,14 043,Other Europe,Import,Semi-finished and Finished Steel
Other Europe,195,3 020,242,121,127,123,205,120,151,132,Other Europe,Import,Semi-finished and Finished Steel
,,,,,,,,,,,,,
Armenia,113,111,79,80,76,80,72,91,107,143,C.I.S.,Import,Semi-finished and Finished Steel
Azerbaijan,667,793,912,1 060,1 257,1 248,839,561,536,660,C.I.S.,Import,Semi-finished and Finished Steel
Belarus,1 482,2 079,1 972,2 210,2 342,1 880,1 481,1 514,1 777,1 881,C.I.S.,Import,Semi-finished and Finished Steel
Georgia,206,282,311,374,391,451,412,460,445,507,C.I.S.,Import,Semi-finished and Finished Steel
Kazakhstan,2 295,1 134,1 316,1 667,1 201,1 660,505,444,403,421,C.I.S.,Import,Semi-finished and Finished Steel
Kyrgyzstan,136,134,181,265,321,343,301,288,278,313,C.I.S.,Import,Semi-finished and Finished Steel
Moldova,121,124,138,178,178,208,151,166,150,164,C.I.S.,Import,Semi-finished and Finished Steel
Russia,3 586,5 229,7 199,6 897,6 571,6 442,4 364,4 448,6 505,6 375,C.I.S.,Import,Semi-finished and Finished Steel
Tajikistan,137,105,111,174,245,277,379,309,280,357,C.I.S.,Import,Semi-finished and Finished Steel
Turkmenistan,758,482,575,1 172,1 014,1 004,798,550,233,234,C.I.S.,Import,Semi-finished and Finished Steel
Ukraine,1 008,1 793,1 981,1 876,1 767,1 202,804,1 138,1 401,1 582,C.I.S.,Import,Semi-finished and Finished Steel
Uzbekistan,871,633,622,819,1 160,1 252,1 160,1 127,1 727,2 000,C.I.S.,Import,Semi-finished and Finished Steel
,,,,,,,,,,,,,
Canada,6 217,9 331,10 903,9 618,8 895,10 293,8 021,7 727,8 809,9 110,North America,Import,Semi-finished and Finished Steel
Costa Rica,275,298,461,411,417,446,504,786,875,901,North America,Import,Semi-finished and Finished Steel
Cuba,137,175,216,171,187,131,272,187,174,145,North America,Import,Semi-finished and Finished Steel
Dominican Republic,668,683,603,491,583,734,829,827,859,1 062,North America,Import,Semi-finished and Finished Steel
El Salvador,95,162,174,197,262,246,313,367,389,397,North America,Import,Semi-finished and Finished Steel
Guatemala,343,430,547,441,548,649,920,935,859,783,North America,Import,Semi-finished and Finished Steel
Honduras,100,105,196,266,230,270,306,300,399,362,North America,Import,Semi-finished and Finished Steel
Jamaica,68,69,79,125,100,142,158,133,191,159,North America,Import,Semi-finished and Finished Steel
Mexico,4 858,6 732,6 846,9 266,8 117,9 111,10 031,9 679,11 625,10 995,North America,Import,Semi-finished and Finished Steel
Nicaragua,77,52,72,95,73,112,171,223,160,130,North America,Import,Semi-finished and Finished Steel
Panama,354,439,542,442,585,725,590,580,566,526,North America,Import,Semi-finished and Finished Steel
Trinidad and Tobago,311,145,140,178,193,256,231,222,230,215,North America,Import,Semi-finished and Finished Steel
United States,15 342,22 510,26 590,30 886,29 812,41 369,36 485,30 913,35 366,31 726,North America,Import,Semi-finished and Finished Steel
Other North America,993,653,188,163,195,179,258,277,312,279,North America,Import,Semi-finished and Finished Steel
,,,,,,,,,,,,,
Argentina,671,1 261,1 272,1 315,1 152,920,1 195,772,1 556,843,South America,Import,Semi-finished and Finished Steel
Bolivia,300,370,380,381,421,464,428,509,497,497,South America,Import,Semi-finished and Finished Steel
