Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Product Type,Division,Unit
Albania,280,236,295,355,480,435,475,100,0,0,Hot Rolled Products,Other Europe,thousand metric tons
Bosnia-Herzegovina,435,475,548,565,592,605,650,690,690,685,Hot Rolled Products,Other Europe,thousand metric tons
Montenegro,120,120,125,110,65,135,140,100,100,100,Hot Rolled Products,Other Europe,thousand metric tons
Norway,470,405,450,465,450,475,480,500,460,465,Hot Rolled Products,Other Europe,thousand metric tons
Serbia,950,1120,1180,340,390,550,860,1050,1310,1690,Hot Rolled Products,Other Europe,thousand metric tons
Turkey,25133,26300,31943,34286,36405,36093,36939,36882,39154,39510,Hot Rolled Products,Other Europe,thousand metric tons
Belarus,2296,1567,1685,1898,1818,1855,1878,1878,1891,2009,Hot Rolled Products,C.I.S.,thousand metric tons
Kazakhstan,3098,3033,3355,2689,2803,3173,3474,3669,4261,3818,Hot Rolled Products,C.I.S.,thousand metric tons
Moldova,441,231,307,360,180,333,421,120,446,472,Hot Rolled Products,C.I.S.,thousand metric tons
Russia,50840,42959,45351,46653,46966,48653,48106,48079,48640,49201,Hot Rolled Products,C.I.S.,thousand metric tons
Ukraine,14900,17799,19807,18577,17594,14942,12370,13147,12781,18361,Hot Rolled Products,C.I.S.,thousand metric tons
Uzbekistan,700,700,720,725,735,785,850,860,850,850,Hot Rolled Products,C.I.S.,thousand metric tons
Canada,8685,12365,12080,12321,12192,11984,11954,11977,11860,13718,Hot Rolled Products,North America,thousand metric tons
Costa Rica,280,287,308,372,447,460,474,382,378,393,Hot Rolled Products,North America,thousand metric tons
Cuba,120,108,118,126,150,105,126,130,114,117,Hot Rolled Products,North America,thousand metric tons
Dominican Republic,268,273,272,395,406,516,425,385,471,523,Hot Rolled Products,North America,thousand metric tons
El Salvador,69,78,97,78,81,83,85,97,90,92,Hot Rolled Products,North America,thousand metric tons
Guatemala,288,345,376,449,557,574,591,474,454,463,Hot Rolled Products,North America,thousand metric tons
Mexico,12994,14809,15793,16269,16357,17742,17573,18697,18694,18872,Hot Rolled Products,North America,thousand metric tons
Trinidad and Tobago,238,361,427,398,297,300,413,25,0,0,Hot Rolled Products,North America,thousand metric tons
United States,56396,75699,83339,87043,86567,89130,78514,78502,82451,86436,Hot Rolled Products,North America,thousand metric tons
Argentina,3749,5046,5386,4952,5144,5021,4572,3984,4595,4763,Hot Rolled Products,South America,thousand metric tons
Brazil,20223,25401,25240,25696,26263,24916,31789,30555,32670,33611,Hot Rolled Products,South America,thousand metric tons
Chile,1279,1473,1514,1594,1289,1017,1035,1081,1062,1131,Hot Rolled Products,South America,thousand metric tons
