Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Division,Import/Export,Product Type
Bahrain,26.0,37.0,45.0,41.0,513.0,153.0,540.0,768.0,782.0,665.0,Middle East,Export,Semi-finished and Finished Steel
Iran,131.0,297.0,270.0,260.0,368.0,2868.0,3798.0,5654.0,7460.0,9273.0,Middle East,Export,Semi-finished and Finished Steel
Iraq,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Middle East,Export,Semi-finished and Finished Steel
Israel,42.0,47.0,59.0,35.0,17.0,7.0,6.0,5.0,8.0,10.0,Middle East,Export,Semi-finished and Finished Steel
Jordan,1.0,0.0,1.0,1.0,3.0,0.0,1.0,76.0,72.0,117.0,Middle East,Export,Semi-finished and Finished Steel
Kuwait,2.0,3.0,16.0,6.0,8.0,3.0,0.0,109.0,101.0,112.0,Middle East,Export,Semi-finished and Finished Steel
Lebanon,13.0,14.0,27.0,20.0,24.0,4.0,1.0,0.0,0.0,1.0,Middle East,Export,Semi-finished and Finished Steel
Oman,39.0,40.0,195.0,56.0,49.0,101.0,118.0,268.0,653.0,779.0,Middle East,Export,Semi-finished and Finished Steel
Qatar,800.0,900.0,585.0,1000.0,1000.0,45.0,0.0,349.0,529.0,1410.0,Middle East,Export,Semi-finished and Finished Steel
Saudi Arabia,101.0,132.0,699.0,285.0,247.0,123.0,1129.0,1141.0,1138.0,1775.0,Middle East,Export,Semi-finished and Finished Steel
Syria,2.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Middle East,Export,Semi-finished and Finished Steel
United Arab Emirates,106.0,188.0,949.0,248.0,265.0,860.0,634.0,3404.0,2951.0,2584.0,Middle East,Export,Semi-finished and Finished Steel
Yemen,0.0,0.0,1.0,0.0,0.0,9.0,14.0,0.0,0.0,0.0,Middle East,Export,Semi-finished and Finished Steel
Other Middle East,151.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle East,Export,Semi-finished and Finished Steel
Bangladesh,8.0,12.0,14.0,19.0,26.0,18.0,5.0,4.0,6.0,6.0,Asia,Export,Semi-finished and Finished Steel
China,23969.0,41646.0,47899.0,54793.0,61543.0,92907.0,111556.0,108066.0,74808.0,68767.0,Asia,Export,Semi-finished and Finished Steel
Hong Kong,1226.0,1432.0,1246.0,1168.0,1087.0,1281.0,168.0,988.0,839.0,704.0,Asia,Export,Semi-finished and Finished Steel
India,5552.0,6690.0,8940.0,8232.0,10078.0,10379.0,7563.0,10325.0,16335.0,11101.0,Asia,Export,Semi-finished and Finished Steel
Indonesia,1104.0,1236.0,1249.0,901.0,660.0,1342.0,2003.0,1599.0,2425.0,3792.0,Asia,Export,Semi-finished and Finished Steel
Japan,33306.0,42735.0,40656.0,41458.0,42502.0,41346.0,40804.0,40505.0,37471.0,35839.0,Asia,Export,Semi-finished and Finished Steel
D.P.R. Korea,76.0,130.0,67.0,78.0,60.0,57.0,33.0,40.0,29.0,16.0,Asia,Export,Semi-finished and Finished Steel
South Korea,20237.0,24628.0,28866.0,30227.0,28927.0,31906.0,31173.0,30586.0,31355.0,30056.0,Asia,Export,Semi-finished and Finished Steel
