Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Division,Unit,Type
Togo,83,149,122,187,165,199,204,171,155,182,Africa,thousand metric tons,crude steel equivalent
Uganda,121,200,161,78,131,160,155,132,154,216,Africa,thousand metric tons,crude steel equivalent
Zambia,118,124,180,158,209,170,181,157,173,192,Africa,thousand metric tons,crude steel equivalent
Zimbabwe,45,80,114,120,126,136,158,167,138,164,Africa,thousand metric tons,crude steel equivalent
Other Africa,497,3442,519,491,694,679,825,891,869,993,Africa,thousand metric tons,crude steel equivalent
Bahrain,270,354,206,237,276,296,302,284,293,298,Other Middle East,thousand metric tons,crude steel equivalent
Iran,19496,21878,23467,21081,21998,22089,21911,21228,22174,21731,Other Middle East,thousand metric tons,crude steel equivalent
Iraq,2363,2388,2937,3783,4144,3601,3387,3692,3582,3686,Other Middle East,thousand metric tons,crude steel equivalent
Israel,1669,1873,2160,2307,2584,2775,3110,3466,3299,3504,Other Middle East,thousand metric tons,crude steel equivalent
Jordan,1380,1181,1092,1190,1122,1191,1236,1249,1249,1280,Other Middle East,thousand metric tons,crude steel equivalent
Kuwait,973,1202,1072,1224,1397,1582,1609,1613,1521,1574,Other Middle East,thousand metric tons,crude steel equivalent
Lebanon,898,846,950,928,868,947,976,996,996,1015,Other Middle East,thousand metric tons,crude steel equivalent
Oman,620,1026,1068,1190,1364,1510,1619,1570,1593,1630,Other Middle East,thousand metric tons,crude steel equivalent
Qatar,1700,1291,1103,1202,1373,1582,1663,1639,1640,1706,Other Middle East,thousand metric tons,crude steel equivalent
Saudi Arabia,10158,10800,12600,13500,14000,14600,14000,12650,12272,8919,Other Middle East,thousand metric tons,crude steel equivalent
Syria,2774,2090,1490,776,471,289,293,293,270,270,Other Middle East,thousand metric tons,crude steel equivalent
United Arab Emirates,6934,7364,7592,7656,7413,7771,7757,8514,8621,8728,Other Middle East,thousand metric tons,crude steel equivalent
Yemen,861,578,382,587,500,971,621,534,496,497,Other Middle East,thousand metric tons,crude steel equivalent
